EN_Name,FR_Name,ZH_Name,EN_URL,FR_URL,ZH_URL,Category
Uranus,Uranus (planète),天王星,https://en.wikipedia.org/wiki/Uranus,https://fr.wikipedia.org/wiki/Uranus_(plan%C3%A8te),https://zh.wikipedia.org/wiki/%E5%A4%A9%E7%8E%8B%E6%98%9F,Science
Species,Espèce,物种,https://en.wikipedia.org/wiki/Species,https://fr.wikipedia.org/wiki/Esp%C3%A8ce,https://zh.wikipedia.org/wiki/%E7%89%A9%E7%A7%8D,Science
Animal,Animal,动物,https://en.wikipedia.org/wiki/Animal,https://fr.wikipedia.org/wiki/Animal,https://zh.wikipedia.org/wiki/%E5%8A%A8%E7%89%A9,Science
Steel,Acier,钢,https://en.wikipedia.org/wiki/Steel,https://fr.wikipedia.org/wiki/Acier,https://zh.wikipedia.org/wiki/%E9%92%A2,Science
Day,Jour,日,https://en.wikipedia.org/wiki/Day,https://fr.wikipedia.org/wiki/Jour,https://zh.wikipedia.org/wiki/%E6%97%A5,Science
Fish,Poisson,鱼,https://en.wikipedia.org/wiki/Fish,https://fr.wikipedia.org/wiki/Poisson,https://zh.wikipedia.org/wiki/%E9%B1%BC,Science
Aluminium,Aluminium,铝,https://en.wikipedia.org/wiki/Aluminium,https://fr.wikipedia.org/wiki/Aluminium,https://zh.wikipedia.org/wiki/%E9%93%9D,Science
Lung,Poumon,肺,https://en.wikipedia.org/wiki/Lung,https://fr.wikipedia.org/wiki/Poumon,https://zh.wikipedia.org/wiki/%E8%82%BA,Science
Redox,Réaction d'oxydoréduction,氧化还原反应,https://en.wikipedia.org/wiki/Redox,https://fr.wikipedia.org/wiki/R%C3%A9action_d%27oxydor%C3%A9duction,https://zh.wikipedia.org/wiki/%E6%B0%A7%E5%8C%96%E8%BF%98%E5%8E%9F%E5%8F%8D%E5%BA%94,Science
Big Bang,Big Bang,大爆炸,https://en.wikipedia.org/wiki/Big_Bang,https://fr.wikipedia.org/wiki/Big_Bang,https://zh.wikipedia.org/wiki/%E5%A4%A7%E7%88%86%E7%82%B8,Science
Skeleton,Squelette,骨骼系統,https://en.wikipedia.org/wiki/Skeleton,https://fr.wikipedia.org/wiki/Squelette,https://zh.wikipedia.org/wiki/%E9%AA%A8%E9%AA%BC%E7%B3%BB%E7%B5%B1,Science
Insect,Insecte,昆虫,https://en.wikipedia.org/wiki/Insect,https://fr.wikipedia.org/wiki/Insecte,https://zh.wikipedia.org/wiki/%E6%98%86%E8%99%AB,Science
Nervous system,Système nerveux,神经系统,https://en.wikipedia.org/wiki/Nervous_system,https://fr.wikipedia.org/wiki/Syst%C3%A8me_nerveux,https://zh.wikipedia.org/wiki/%E7%A5%9E%E7%BB%8F%E7%B3%BB%E7%BB%9F,Science
